Имя Отчество Фамилия,Возраст
Антонина Рудольфовна Абазова,27
Василий Алексеевич Абакумов,77
Милена Ульяновна Абакумова,64
Исмаил Эмин Абдулаев,60
Рустам Зуфарович Абдулгануев,16
Онарбой Мансурович Абдуллаев,80
Василий Юрьевич Абрамов,18
Ксения Алексеевна Абрамова,43
Павел Мирдагаянович Абсалямов,61
Абрам Степанович Абузяров,49
Дмитрий Олегович Авдюков,27
Инна Ивановна Аверина,74
Руслан Асланбекович Авраменков,23
Степан Степанович Аврамов,21
Ильдар Ильдусович Агалямзянов,71
Юрий Викторович Агафонов,77
Алевтина Ульяновна Агафонова,46
Мария Степановна Агуева,18
Роман Геннадьевич Агиев,39
Рафаэль Сагитзянович Аглямов,42
Равиль Габдуллович Аглямутдинов,74
Любовь Ивановна Адаменко,40
Андрей Васильевич Адамов,84
Емельян Борисович Адуевский,69
Эльвира Эдемовна Аединова,75
Митрофан Анатольевич Ажауров,17
Петр Георгевич Ажимов,28
Геннадий Анатольевич Азаров,76
Сюзанна Ашотовна Айвазян,75
Таймураз Рафаилович Айгистов,43
Анатолий Егорович Айдаров,27
Алевтина Тудимировна Айкина,79
Таймураз Искандарович Акжигитов,79
Аристофан Викторович Акилов,77
Магдалена Юрьевна Акимова,83
Михаил Петрович Акиндинов,82
Дмитрий Алексеевич Акиньшин,75
Ильдар Габдуллович Акмалов,83
Ара Жоржикович Акобян,48
Инга Борисовна Акопян,42
Оксана Васильевна Аксёнова,77
Михаил Алексеевич Аксюк,42
Пантелеймон Алексеевич Аксючиц,73
Митрофан Асланбекович Акулов,71
Емельяна Бабамуратовна Акыева,46
Эмилия Петровна Алдарова,52
Аристофан Юрьевич Алеврас,23
Дмитрий Степанович Алейников,18
Степан Аристархович Алексейов,62
Милена Алексеевна Алексейова,31
Митрофан Геннадьевич Алексуев,28
Юлия Степановна Алексуева,55
Маша Николаевна Алефиренко,16
Надежда Семеновна Алешина,59
Милена Юрьевна Алещенкова,77
Милена Борисовна Али,85
Муслим Алибекович Алибеков,45
Явар Акпер Алиев,48
Патимат Имамутдиновна Алиева,38
Алексей Аристархович Алиментьев,83
Яна Рамильевна Аллаярова,75
Собирхон Азамхонович Аловхонов,49
Махмуд Михайлович Алферов,61
Петр Георгевич Алфёров,26
Аристофан Леонидович Алферьев,16
Алексей Степанович Алябьев,22
Павел Аристархович Алянич,74
Кялаш Адамович Амарян,64
Василий Ибрагимович Аминов,40
Лариса Марсовна Аминова,46
Абрам Аристархович Ананьев,77
Надежда Викторовна Ананьина,61
Милена Юрьевна Андоний,46
Роман Борисович Андруев,48
Алевтина Степановна Андруева,27
Митрофан Анатольевич Андрианов,83
Алексей Михайлович Андриенко,40
Василий Анатольевич Андросенко,70
Надежда Леонидовна Аникеенко,22
Алевтина Степановна Аникина,44
Василий Алексеевич Анисимов,70
Василий Викторович Анищенко,73
Роман Петрович Анкушин,18
Алексей Степанович Анненков,17
Алевтина Степановна Анешина,60
Эдуард Борисович Антипенко,69
Магдалена Евгеньевна Антипина,43
Павел Георгевич Антипов,58
Алексейа Артемовна Антоненкова,24
Митрофан Анатольевич Антонов,72
Алевтина Петровна Антонова,19
Алена Алексеевна Анточану,59
Абрам Георгевич Антешкин,46
Михаил Алексеевич Антропов,19
Маша Борисовна Антропова,83
уков Степанович Ануфриев,29
Махмуд Аристархович Анцыгин,83
Митрофан Олегович Апексимов,81
Михаил Алексеевич Апраксин,23
Василий Георгевич Арапов,52
Валентина Алексеевна Арбатская,83
Галина Ивановна Арефьева,32
Роман Борисович Аржанников,55
Артем Ларвендович Арзуманян,43
Петр Валентинович Арзуков,78
Виктор Аристархович Аристов,26
Роман Самсонович Аронскинд,82
Марина Сергеевна Аросланкина,17
Эльвира Яватовна Арсланова,77
Руслан Васильевич Артамонов,77
Руслан Анатольевич Артёмов,19
Руслан Олегович Артемов,26
Юрий Степанович Артемьев,49
Мария Степановна Артемьева,33
Василий Артемович Арутюнян,62
Марина Евгеньевна Архипенко,43
Аристофан Геннадьевич Архипенков,68
Абрам Викторович АРХИПОВ,64
Константин Асланбекович Архипов,73
Милена Николаевна Архипова,68
Марина Борисовна Архониду,48
Анатолий Викторович Арцыбашев,46
Емельян Радикович Аскаров,23
Гаяне Арутюновна Асликян,49
Руслан Игоревич Асмолов,61
Яна Алексеевна Астафьева,85
Емельян Степанович Асташов,42
Павел Асланбекович Астраханов,28
Степан Аркадьевич Астров,39
Флария Фидануевна Асхадуллина,72
Вячеслав Юрьевич Атаманов,53
Анжелика Ринатовна Атауллина,23
Руслан Витальевич Атнашев,57
Емельян Георгевич Афанасенко,34
Митрофан Анатольевич Афанасьев,71
Роман Степанович Афонасьев,67
Абрам Леонидович Афтахетдинов,69
Васима Вахитовна Ахатова,75
Ксения Андруевна Ахмадиева,85
Михаил Юрьевич Ахмадуллин,58
Алевтина Ульяновна Ахметянова,18
Таймураз Нариманович Ахтямов,59
Пантелеймон Рафаилович Ахьямов,32
Аристофан Анатольевич Ачимов,45
