ИНН,Организация
6764069392,"ООО ""ТК ""Люкс-Алко"""
7687051815,"ООО ""ИНВЕСТУРАЛСТРОЙ"""
7670347009,"ООО ""Энергоинжиниринг"""
6762074037,"ООО ""ПРОНТ"""
7670199128,"ООО ""Пронт-метиз"""
7670247212,"ООО ""А'ЛИСА-ТРЭВЕЛ"""
7673226122,"ООО НЦ ""ГеоГИН"""
7671245120,"ООО ""ГИНГЕО"""
7674186970,"ООО ""Н-ИСЕТСКИЙ"""
7687043070,"ООО ""ЗОЛОТАЯ КОРОНА"""
7674376852,"ООО ""УК ""Сигма"""
7708709686,"ООО "" МЕГА БЛАГОВЕЩЕНСК"""
6606026953,МБОУ - Сеш № 181
6761062374,Абдуллаев Онарбой Мансурович
762104911856,"ООО ""Архитектурная группа ""Ин.Форм"""
6758307786,МБДОУ - детский сад № 362
6764056957,"ООО ""Билет-ека"""
7672160849,"ООО ""Магм-С"""
7686012456,"ООО УЭЦ ""ККР"""
7671129317,"ООО ТД ""Меркато"""
7671413529,"ООО ""ТоргСнаб-ТЛК"""
7671384395,МБДОУ-ДЕТСКИЙ САД № 277
7670296964,"ООО ""БК ""СИНТУР"""
7679037731,"ООО ""СК Капитал"""
6758027002,"ООО ЧОО ""ТИТАН"""
7674347793,"ЖСК ""8-е Марта, 204"""
6759056172,"ООО УК ""ЭКСПО-РЕМ"""
7671382849,"ООО ""МЕГАПОЛИС ИЖЕВСК"""
7671357581,"ООО ТК ""ЛОГИСТИЧЕСКИЕ СИСТЕМЫ"""
1831120147,"ООО ПО ""Прибор"""
7678043059,"ООО ""УРАЛПРОМТРАНСПРОЕКТ"""
7672320796,"ООО ""ЭКСПО-РЕМ"""
7679043206,"ООО ""Рента-Сервис"""
6758256813,МКДОУ детский сад № 17
6758342325,"ООО ""Эмис"""
767110041857,Абранин Степан Аристархович
7646009400,Абрашкин Евгений Святославович
6758436012,Абросимов Вадим Алексеевич
660600102810,"ООО ""Уралторгсервис-3"""
676300763680,"ООО ""Омега-сервис"""
676304076758,"ООО ""ЭКОПРОМ"""
7632016736,"ООО ""СервисГранд"""
7670374404,"ООО ""Проммеханизация"""
7670374394,"ООО ""Топаз 2000"""
7672338870,Кольцовская таможня
7203284978,"ООО ""ДПМ"""
7660138790,Абросимова Анастасия Олеговна
6762067576,"ОАО ""МРСК Урала"""
7686012061,"ООО ""Аудит-Партнер"""
732104234770,"ООО ""МиЛен 2000"""
7671163413,Жуков Степан Алексеевич
6759033675,"ООО ЧОП ""Исток-1"""
6763076414,"ООО ""Инжиниринговая компания Мобихауз"""
7672331999,Абукаров Алибек Алиевич
6761054770,"ООО ""Бай-Сул"""
6758392510,Абуова Евгения Юрьевна
890602921170,"ООО ""ПромМаркет"""
7670341039,"ООО ""Дизель-тест-Комплект"""
766004120760,"ООО ""ИИДТ"""
7673190700,"ООО КБ ""КОЛЬЦО УРАЛА"""
7670027072,"ЗАО ""ТЕХНОС"""
7660002238,"ООО ""Энергия"""
6608001425,Жуков Руслан Олегович
6761013338,Аверин Михаил Валериевич
7670383582,"ООО ""Гостиничный Сервис"""
675800441992,"ООО ""РО ""СМУ №7"""
676200288230,"ООО ""СВ"""
7671319070,Аверина Анна Петровна
7671312030,"ООО ""Центр Бронирования №1"""
7679042570,"ООО ""Парарам"""
660306785304,Аверина Марина Юрьевна
7671312009,УСЦ ЮНЕСКО
7670152747,"ООО ""МКХ"""
767210492109,"ООО ""КЦ ""Метрополис"""
6761034585,"ООО ""РБА-Екатеринбург"""
7671181290,"Товарищество Собственников ЖРуслан ""Центральный Дом"""
7671181700,"МАУ ""ДГКБ № 11"""
7672361898,"ООО ""Инна-Тур"""
6758080762,"МАУ ""ДГП №13"""
6758035885,"ООО ""ЧОО ""Варриорс"""
7639007900,"ООО ""МСиЭС"""
6762061341,"ООО ""ПРОДЮСЕРСКИЙ ЦЕНТР ""ПРОФИ"""
6762115702,"ООО СП ""Маджента"""
7670287095,"ООО ТК ""Мегаойл"""
6762101548,"ООО ""ПромСнаб"""
7670377070,"ООО ""База""Звезда"""
7674372920,"ООО ""Центр ОТиПЭ"""
7627047807,"ООО ""ХАЙТЕК МЕДИКА"""
7672134944,"ООО ""Хайтек Медикал"""
6759218497,"ООО ""Артефакт"""
7670408830,"ООО ""Гермес"""
7671377620,"ООО ""АНТАРЕС"""
7687010093,"ООО ""ПФ СОНЯ"""
7670331496,"ООО ""СОНЯ"""
7678035869,Агапова Дарья Ульяновна
7678010864,"ООО ""Домовой 66"""
7678010871,Агафонов Юрий Викторович
764604883939,"ООО ""МС"""
7678003870,"ООО ""ТД Краска Маркет"""
767110000787,"ООО ""ДОМБЕРИ"""
7686042690,"ООО ""СТМ-1"""
6758415573,"ООО ""Сантехмарт"""
7670084704,"ООО ""Дороги сеВарвара"""
7671382775,"ООО ""ОУПЕН Урал"""
7674354141,Агуев Владислав Анатольевич
6752020307,"ЧУ ДО ""Лингвистический центр ""Лексис"""
7724681075,"НОУ Сеш ""ИНДРА"""
767370755943,Агзамов Таймураз Руслансович
6758994031,"ООО ""Реал Эстейт Сервис"""
6758033694,"ООО ""Технологии управления недвижимостью"""
676307558993,"ООО ""СК ""СТРОЙГОРОД"""
7673128492,"ООО ""ОРТО-ЕК"""
7672357605,"ООО ""ИнструментКомплектСервис"""
7671399225,"ООО ""Авто-Лидер"""
7686070557,"ООО ""Уральская контейнерная компания"""
7678020816,Адамова Мария Варламовна
7670348725,"ООО ""КАМАЗИ"""
7673212271,АСП Красноленинский
675910317162,"ООО ""Управляющая компания ИТС-Групп"""
6758347591,"ООО ""Взлет - Свердловское отделение"""
8618006384,"ООО ТД ""Взлет-Екатеринбург"""
7679000266,"ОАО ""Водоканал Свердловской области"""
7670140420,"ООО ""АЛЕКСА"""
7687021345,"ООО ""ПКФ ""МКМ-альянс"""
7670290930,Азаров Василий Степанович
7627062153,"ООО ""Хладокомбинат-4"""
7670211294,"ООО ""Дорожные технологии"""
766008809416,"ООО ""Акцент"""
7670005761,"ООО ""Актайм"""
7672263700,"ООО ""АЙКОМ"""
6758284271,"ООО ""Добруша"""
6758284289,Свердловское региональное отделение Всероссийской творческой общ
7612015371,"МБУ ""ЦГКБ № 1 Октябрьского района"""
1639045381,"ООО ""ИПК-Сервис"""
7671230719,"ООО ""ГИДРОПОМОЩЬ"""
6762054256,"ООО ""Эксперт-Метролог"""
4701179270,"ООО ""АсстрА Урал"""
7687069322,"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ"""
7671383225,"ОАО ""ВРК - 1"""
7671170795,"ООО ""Провиант НТ"""
6608007434,"ООО ""ФанВэйв"""
7708737490,ВСеш № 3
7678024225,Аксельрод Юрий Моисуевич
7674142676,"ООО ""НПП""Системы автоматизации поддержки бизнеса"""
7623058000,"ООО ""ПКФ ""Энергия"""
7674305585,"ООО  ""Газпром трансгаз Екатеринбург"""
7679007279,"ГБУ СОН СО ""ЦСПСИД ""КАРАВЕЛЛА"" ВЕРХ-ИСЕТСКОГО РАЙОНА ГОРОДА ЕКАТ"
767204123819,Аксёнова Юлия Юрьевна
7670168641,"ООО ""Юлис-групп"""
7670176138,"ООО ""Рус Торг"""
6758087114,"ООО ""СТЭК"""
767305970297,"ООО ""ЧОО ""АСБ"""
7670367710,"ООО ""Магистраль-Ек"""
7670377444,"ООО ""ПКФ ТехМетСервис"""
7670303523,"ООО ""СтройТранс"""
7672139808,МБДОУ - детский сад № 209
6604011574,МБДОУ - детский сад комбинированного вида № 70
7673237699,"АК ""АЛРОСА"" (ОАО)"
6759195747,"ООО ""НОВОКОМ"""
7686000901,"ООО ""Дорожник"""
7671273039,"ООО ""АСПА"""
7671184702,"ОАО ""РЖД"""
1433000147,"ООО ""МВЗ-75"""
6758375160,"ООО ""Рум-кафе"""
6758302869,"ГКУ СО ""Верх-Исетское лесничество"""
7672302814,"ООО ""УСХК"""
7708703727,"ДНП ""Аэродром"""
7671274233,"ООО ""Тэфия"""
7671383867,"АНО ДО ""Алмазик"""
6758300004,"ООО ""Каратрон"""
6758195247,Алексейова Наталия Валерьевна
6759223056,"ООО ""ТипСтрой"""
6758323072,"ООО ""НПП""ЦМТ"""
1433025906,"ОАО ""СУРГУТНЕФТЕГАЗ"""
6758196307,Управление Образования Нижнесергинского Муниципального Района
675800708727,"ООО СЦ ""ОРСЕР"""
6758313691,"ООО ""Верум"""
7679023288,"ОАО ""ЦНИИМ"""
8602060555,"ООО ""Знатоки Вкуса"""
7646001578,"ООО ""ТСК"""
6758330351,"ООО ""Бизнес-партнер"""
7671396224,УРЦЭЭ
7670003255,"ООО ТД ""ЭКА"""
8604057780,"ООО ""ЛеКСаН"""
7671390462,"ООО ""РентЛайн"""
7623097680,Алексуев Андрей Асланбекович
7687006354,"ООО ""Промспецсервис"""
7660043971,"ООО ""УТК Марс"""
7670378127,"ООО ""Русский кабельный центр"""
6758411716,"ЗАО ""Уктус-Авиа"""
7671252529,"ООО ""Визит"""
762701000391,"ООО ""Ника-центр"""
6764060449,"ООО ТПП ""ЭнергоМодуль"""
6604015145,"ГКУК СО ""СОМБ"""
7686023810,"ООО ""Трайс-Ек"""
7674374973,Алескеров Бахтияр Микаил_оглы
7634010183,"ООО ""Ломбард ""Алмаз+"""
